station,river,district,lat,lon,date,water_level_m,danger_level_m,hfl_m,above_danger
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-06,103.57,104.78,105.36,False
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-07,103.8,104.78,105.36,False
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-08,104.66,104.78,105.36,False
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-09,105.03,104.78,105.36,True
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-10,105.19,104.78,105.36,True
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-11,105.31,104.78,105.36,True
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-12,105.28,104.78,105.36,True
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-13,105.56,104.78,105.36,True
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-14,105.7,104.78,105.36,True
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-15,105.8,104.78,105.36,True
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-16,105.77,104.78,105.36,True
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-17,105.6,104.78,105.36,True
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-18,105.55,104.78,105.36,True
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-19,105.39,104.78,105.36,True
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-20,105.31,104.78,105.36,True
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-21,105.24,104.78,105.36,True
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-22,104.13,104.78,105.36,False
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-23,104.05,104.78,105.36,False
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-24,103.83,104.78,105.36,False
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-25,103.62,104.78,105.36,False
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-26,103.45,104.78,105.36,False
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-27,103.43,104.78,105.36,False
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-28,102.99,104.78,105.36,False
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-29,102.98,104.78,105.36,False
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-30,102.51,104.78,105.36,False
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-31,102.45,104.78,105.36,False
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-01,81.42,84.1,84.85,False
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-02,81.76,84.1,84.85,False
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-03,82.07,84.1,84.85,False
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-04,82.38,84.1,84.85,False
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-05,82.57,84.1,84.85,False
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-06,82.85,84.1,84.85,False
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-07,83.29,84.1,84.85,False
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-08,84.07,84.1,84.85,False
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-09,84.06,84.1,84.85,False
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-10,84.23,84.1,84.85,True
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-11,84.41,84.1,84.85,True
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-12,84.77,84.1,84.85,True
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-13,84.87,84.1,84.85,True
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-14,85.1,84.1,84.85,True
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-15,85.06,84.1,84.85,True
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-16,85.02,84.1,84.85,True
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-17,84.96,84.1,84.85,True
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-18,84.77,84.1,84.85,True
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-19,84.75,84.1,84.85,True
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-20,84.53,84.1,84.85,True
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-21,84.46,84.1,84.85,True
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-22,83.56,84.1,84.85,False
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-23,83.28,84.1,84.85,False
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-24,83.25,84.1,84.85,False
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-25,82.95,84.1,84.85,False
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-26,82.8,84.1,84.85,False
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-27,82.65,84.1,84.85,False
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-28,82.44,84.1,84.85,False
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-29,82.27,84.1,84.85,False
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-30,81.99,84.1,84.85,False
Badatighat,Subansiri,Lakhimpur,27.15,94.08,2024-07-31,81.76,84.1,84.85,False
